Date-ref	Time-ref	node-alm	REPT	Type	Date	Node	Group	Hour	week	
25-01-28	00:15:03	bc_srvr16	SRS_FTP_PULLER.1	softwareError	01/28/25	D1-3	ADMIN	0	5	
25-01-28	00:15:03	bc_srvr16	SRS_FTP_PULLER.1	softwareError	01/28/25	D1-3	ADMIN	0	5	
25-01-28	00:15:03	bc_srvr16	SRS_FTP_PULLER.1	softwareError	01/28/25	D1-3	ADMIN	0	5	
25-01-28	00:15:03	bc_srvr16	SRS_FTP_PULLER.1	softwareError	01/28/25	D1-3	ADMIN	0	5	
25-01-28	00:15:04	bc_srvr16	SRS_FTP_PULLER.1	softwareError	01/28/25	D1-3	ADMIN	0	5	
25-01-28	00:15:04	bc_srvr16	SRS_FTP_PULLER.1	softwareError	01/28/25	D1-3	ADMIN	0	5	
25-01-28	00:15:04	bc_srvr16	SRS_FTP_PULLER.1	softwareError	01/28/25	D1-3	ADMIN	0	5	
25-01-28	00:15:04	bc_srvr16	SRS_FTP_PULLER.1	softwareError	01/28/25	D1-3	ADMIN	0	5	
25-01-28	00:16:18	bc_srvr16	SRS_FTP_PULLER.1	softwareError	01/28/25	D1-3	ADMIN	0	5	
25-01-28	00:17:22	bc_srvr33	XCOM.3	Informational	01/28/25	D1-23	SEARCH	0	5	
25-01-28	00:17:37	bc_srvr33	XCOM.2	Informational	01/28/25	D1-23	SEARCH	0	5	
25-01-28	00:40:16	FMS0	port	off	01/28/25	FMS0	ADMIN	0	5	
25-01-28	01:40:20	FMS0	port	off	01/28/25	FMS0	ADMIN	1	5	
25-01-28	02:15:03	bc_srvr16	SRS_FTP_PULLER.1	softwareError	01/28/25	D1-3	ADMIN	2	5	
25-01-28	02:15:04	bc_srvr16	SRS_FTP_PULLER.1	softwareError	01/28/25	D1-3	ADMIN	2	5	
25-01-28	02:15:04	bc_srvr16	SRS_FTP_PULLER.1	softwareError	01/28/25	D1-3	ADMIN	2	5	
25-01-28	02:15:04	bc_srvr16	SRS_FTP_PULLER.1	softwareError	01/28/25	D1-3	ADMIN	2	5	
25-01-28	02:15:04	bc_srvr16	SRS_FTP_PULLER.1	softwareError	01/28/25	D1-3	ADMIN	2	5	
25-01-28	02:15:04	bc_srvr16	SRS_FTP_PULLER.1	softwareError	01/28/25	D1-3	ADMIN	2	5	
25-01-28	02:15:04	bc_srvr16	SRS_FTP_PULLER.1	softwareError	01/28/25	D1-3	ADMIN	2	5	
25-01-28	02:15:04	bc_srvr16	SRS_FTP_PULLER.1	softwareError	01/28/25	D1-3	ADMIN	2	5	
25-01-28	02:16:18	bc_srvr16	SRS_FTP_PULLER.1	softwareError	01/28/25	D1-3	ADMIN	2	5	
25-01-28	02:40:25	FMS0	port	off	01/28/25	FMS0	ADMIN	2	5	
25-01-28	02:44:42	bc_srvr14	nasPlatformUtility.0	SCSI	01/28/25	D1-1	ADMIN	2	5	
25-01-28	02:44:42	bc_srvr14	nasPlatformUtility.0	SCSI	01/28/25	D1-1	ADMIN	2	5	
25-01-28	02:44:42	bc_srvr15	nasPlatformUtility.0	SCSI	01/28/25	D1-2	ADMIN	2	5	
25-01-28	02:44:42	bc_srvr15	nasPlatformUtility.0	SCSI	01/28/25	D1-2	ADMIN	2	5	
25-01-28	02:44:45	bc_srvr16	nasPlatformUtility.0	SCSI	01/28/25	D1-3	ADMIN	2	5	
25-01-28	02:44:45	bc_srvr16	nasPlatformUtility.0	SCSI	01/28/25	D1-3	ADMIN	2	5	
25-01-28	02:44:45	bc_srvr21	nasPlatformUtility.0	SCSI	01/28/25	D1-8	ADMIN	2	5	
25-01-28	02:44:45	bc_srvr21	nasPlatformUtility.0	SCSI	01/28/25	D1-8	ADMIN	2	5	
25-01-28	02:44:46	bc_srvr17	nasPlatformUtility.0		01/28/25	D1-4	SEARCH	2	5	
25-01-28	02:44:46	bc_srvr17	nasPlatformUtility.0		01/28/25	D1-4	SEARCH	2	5	
25-01-28	02:44:46	bc_srvr21	nasPlatformUtility.0	SOFTWARE	01/28/25	D1-8	ADMIN	2	5	
25-01-28	02:44:46	bc_srvr22	nasPlatformUtility.0	SCSI	01/28/25	D1-9	ADMIN	2	5	
25-01-28	02:44:46	bc_srvr22	nasPlatformUtility.0	SCSI	01/28/25	D1-9	ADMIN	2	5	
25-01-28	02:44:46	bc_srvr25	nasPlatformUtility.0	SCSI	01/28/25	D1-12	ADMIN	2	5	
25-01-28	02:44:46	bc_srvr25	nasPlatformUtility.0	SCSI	01/28/25	D1-12	ADMIN	2	5	
25-01-28	03:40:29	FMS0	port	off	01/28/25	FMS0	ADMIN	3	5	
25-01-28	04:12:07	bc_srvr32	CCA_ALARM.34	softwareError	01/28/25	D1-22	SEARCH	4	5	
25-01-28	04:40:33	FMS0	port	off	01/28/25	FMS0	ADMIN	4	5	
25-01-28	05:07:06	bc_srvr33	CCA_ALARM.34	softwareError	01/28/25	D1-23	SEARCH	5	5	
25-01-28	05:40:37	FMS0	port	off	01/28/25	FMS0	ADMIN	5	5	
25-01-28	06:27:55	bc_srvr18	XCOM.3	Informational	01/28/25	D1-5	SEARCH	6	5	
25-01-28	06:27:55	bc_srvr18	XCOM.4	Informational	01/28/25	D1-5	SEARCH	6	5	
25-01-28	06:27:55	bc_srvr32	XCOM.3	Informational	01/28/25	D1-22	SEARCH	6	5	
25-01-28	06:27:55	bc_srvr32	XCOM.4	Informational	01/28/25	D1-22	SEARCH	6	5	
25-01-28	06:28:44	bc_srvr18	XCOM.1	Informational	01/28/25	D1-5	SEARCH	6	5	
25-01-28	06:28:44	bc_srvr18	XCOM.2	Informational	01/28/25	D1-5	SEARCH	6	5	
