Date-ref,Time-ref,node-alm,REPT,Type,Date,Time,Node,Group,week
25-01-28,14:35:55,bc_srvr20,1.3.6.1.4.1.35.123.3.3.3.1.0,,1/28/2025,1/28/2025 14:35,D1-7,SEARCH,5
25-01-28,14:45:25,bc_srvr20,CCA_ALARM.2,softwareError,1/28/2025,1/28/2025 14:45,D1-7,SEARCH,5
25-01-28,14:30:48,bc_srvr17,CCA_ALARM.27,softwareError,1/28/2025,1/28/2025 14:30,D1-4,SEARCH,5
25-01-28,14:00:42,bc_srvr17,CCA_ALARM.27,softwareError,1/28/2025,1/28/2025 14:00,D1-4,SEARCH,5
25-01-28,14:43:24,bc_srvr20,CCA_ALARM.28,softwareError,1/28/2025,1/28/2025 14:43,D1-7,SEARCH,5
25-01-28,14:27:28,bc_srvr18,CCA_ALARM.3,softwareError,1/28/2025,1/28/2025 14:27,D1-5,SEARCH,5
25-01-28,14:32:59,bc_srvr24,CCA_ALARM.34,softwareError,1/28/2025,1/28/2025 14:32,D1-11,SEARCH,5
25-01-28,14:31:49,bc_srvr30,CCA_ALARM.34,softwareError,1/28/2025,1/28/2025 14:31,D1-20,SEARCH,5
25-01-28,14:21:17,bc_srvr30,CCA_ALARM.34,softwareError,1/28/2025,1/28/2025 14:21,D1-20,SEARCH,5
25-01-28,14:52:25,bc_srvr32,CCA_ALARM.34,softwareError,1/28/2025,1/28/2025 14:52,D1-22,SEARCH,5
25-01-28,14:02:19,bc_srvr33,CCA_ALARM.34,softwareError,1/28/2025,1/28/2025 14:02,D1-23,SEARCH,5
25-01-28,14:16:21,bc_srvr17,CCA_ALARM.34,softwareError,1/28/2025,1/28/2025 14:16,D1-4,SEARCH,5
25-01-28,14:45:25,bc_srvr18,CCA_ALARM.52,softwareError,1/28/2025,1/28/2025 14:45,D1-5,SEARCH,5
25-01-28,14:45:00,bc_srvr20,CCA_ALARM.6,softwareError,1/28/2025,1/28/2025 14:45,D1-7,SEARCH,5
25-01-28,14:38:59,bc_srvr20,CCA_ALARM.6,softwareError,1/28/2025,1/28/2025 14:38,D1-7,SEARCH,5
25-01-28,14:38:59,bc_srvr20,CCA_ALARM.6,softwareError,1/28/2025,1/28/2025 14:38,D1-7,SEARCH,5
25-01-28,14:37:13,bc_srvr18,CCA_ALARM.64,softwareError,1/28/2025,1/28/2025 14:37,D1-5,SEARCH,5
25-01-28,14:27:28,bc_srvr18,CCA_ALARM.68,softwareError,1/28/2025,1/28/2025 14:27,D1-5,SEARCH,5
25-01-28,14:47:31,bc_srvr20,CMP.111,softwareError,1/28/2025,1/28/2025 14:47,D1-7,SEARCH,5
25-01-28,14:47:31,bc_srvr20,CMP.196,Informational,1/28/2025,1/28/2025 14:47,D1-7,SEARCH,5
25-01-28,14:42:21,bc_srvr20,nasPlatformUtility.0,SOFTWARE,1/28/2025,1/28/2025 14:42,D1-7,SEARCH,5
25-01-28,14:42:21,bc_srvr20,nasPlatformUtility.0,SOFTWARE,1/28/2025,1/28/2025 14:42,D1-7,SEARCH,5
25-01-28,14:42:20,bc_srvr20,nasPlatformUtility.0,SOFTWARE,1/28/2025,1/28/2025 14:42,D1-7,SEARCH,5
25-01-28,14:42:20,bc_srvr20,nasPlatformUtility.0,SOFTWARE,1/28/2025,1/28/2025 14:42,D1-7,SEARCH,5
25-01-28,14:42:19,bc_srvr20,nasPlatformUtility.0,SOFTWARE,1/28/2025,1/28/2025 14:42,D1-7,SEARCH,5
25-01-28,14:42:17,bc_srvr20,nasPlatformUtility.0,SOFTWARE,1/28/2025,1/28/2025 14:42,D1-7,SEARCH,5
25-01-28,14:42:17,bc_srvr20,nasPlatformUtility.0,SOFTWARE,1/28/2025,1/28/2025 14:42,D1-7,SEARCH,5
25-01-28,14:42:16,bc_srvr20,nasPlatformUtility.0,SOFTWARE,1/28/2025,1/28/2025 14:42,D1-7,SEARCH,5
25-01-28,14:42:16,bc_srvr20,nasPlatformUtility.0,SOFTWARE,1/28/2025,1/28/2025 14:42,D1-7,SEARCH,5
25-01-28,14:45:25,bc_srvr20,STEX.18,softwareError,1/28/2025,1/28/2025 14:45,D1-7,SEARCH,5
25-01-28,14:36:39,bc_srvr31,XCOM.1,Informational,1/28/2025,1/28/2025 14:36,D1-21,SEARCH,5
